N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
96,LG화학우,"316,500","3,000",0.96%,"5,000","24,335","7,689",53.68,"218,902",54.56,N/A
97,제일기획,"20,900",700,3.47%,200,"24,044","115,041",30.29,"743,538",18.69,15.09
98,키움증권,"108,500",0,0.00%,"5,000","23,999","22,119",25.07,"34,284",7.28,16.97
99,HMM,"7,260",40,-0.55%,"5,000","23,720","326,726",7.74,"3,372,016",-9.31,-55.46
100,한샘,"100,000","2,000",-1.96%,"1,000","23,534","23,534",24.73,"72,695",45,7.32
101,한국항공우주,"23,950",650,2.79%,"5,000","23,345","97,475",14.18,"478,573",14.94,15.84
102,한국가스공사,"24,750",300,-1.20%,"5,000","22,847","92,313",8.67,"257,651",-5.12,0.48
103,롯데쇼핑,"80,000",100,-0.12%,"5,000","22,631","28,289",11.48,"72,032",-1.66,-8.14
104,일진머티리얼즈,"48,750",450,0.93%,500,"22,479","46,111",8.91,"239,069",44.12,8.52
105,휠라홀딩스,"37,000",700,1.93%,"1,000","22,478","60,752",45.44,"295,784",11.2,23.81
106,메리츠증권,"3,275",5,-0.15%,"1,000","22,138","675,962",12.38,"2,094,173",4.46,15.06
107,삼성엔지니어링,"11,150",100,-0.89%,"5,000","21,854","196,000",30.33,"817,562",8.45,24.62
108,오뚜기,"589,000","11,000",1.90%,"5,000","21,235","3,605",17.42,"4,687",16.82,7.79
109,신세계,"215,500","3,000",-1.37%,"5,000","21,216","9,845",27.85,"100,477",-7.94,14.24
110,현대차우,"87,000","2,000",-2.25%,"5,000","21,190","24,357",55.44,"146,672",12.54,N/A
111,BGF리테일,"120,000",500,-0.41%,"1,000","20,741","17,284",31.66,"29,851",16.01,26.46
112,KODEX 레버리지,"15,465",115,0.75%,0,"20,476","132,400",2.92,"53,423,886",N/A,N/A
113,현대해상,"22,850",150,0.66%,500,"20,428","89,400",40.42,"219,767",6.71,6.23
114,부광약품,"31,500","1,350",-4.11%,500,"20,424","64,838",4.86,"3,544,126",732.56,-2
115,농심,"333,500","3,500",-1.04%,"5,000","20,286","6,083",19.65,"39,584",16.59,3.72
116,GS건설,"25,100",50,0.20%,"5,000","20,105","80,098",28.19,"359,446",5.26,11.79
117,한화,"26,750",150,-0.56%,"5,000","20,051","74,959",19.18,"425,724",14.01,2.09
118,종근당,"182,000",500,-0.27%,"2,500","19,812","10,886",13.13,"126,213",26.11,11.94
119,한올바이오파마,"36,700",650,-1.74%,500,"19,172","52,241",6.88,"584,727",89.29,14.9
120,LS,"59,200",900,1.54%,"5,000","19,062","32,200",11.47,"215,877",-43.82,0.8
121,씨에스윈드,"110,000","2,000",1.85%,500,"19,014","17,286",8.47,"249,903",45.03,9.92
122,팬오션,"3,480",15,-0.43%,"1,000","18,603","534,569",11.37,"1,107,669",12.61,5.49
123,현대로템,"17,000",250,1.49%,"5,000","18,554","109,142",3.63,"1,604,370",-5.1,-37.93
124,대웅,"30,900",0,0.00%,500,"17,966","58,142",7.22,"539,535",38.62,10.43
125,LS ELECTRIC,"59,500",700,1.19%,"5,000","17,850","30,000",15.29,"105,480",18.36,7.82
126,포스코인터내셔널,"13,850",100,-0.72%,"5,000","17,087","123,375",16.17,"184,963",9.53,7.06
127,영진약품,"9,300",240,2.65%,500,"17,009","182,893",4.63,"8,629,108",715.38,4.43
128,두산인프라코어,"8,080",200,2.54%,"5,000","16,977","210,107",4.68,"7,265,295",12.26,11.59
129,한솔케미칼,"150,000","2,000",1.35%,"5,000","16,943","11,295",31.9,"71,863",16.3,20.88
130,만도,"35,900",350,0.98%,"1,000","16,858","46,957",24.46,"1,160,954",-40.7,7.55
131,BNK금융지주,"5,140",0,0.00%,"5,000","16,753","325,935",47.15,"1,005,467",3.21,7.07
132,일양약품,"87,400","16,600",23.45%,"2,500","16,681","19,086",8.76,"8,037,229",179.84,5.2
133,태영건설,"21,600",0,0.00%,500,"16,502","76,400",7.3,0,25,8.38
134,DB하이텍,"37,050",300,0.82%,"5,000","16,450","44,399",31.11,"503,979",10.15,17.4
135,KODEX 단기채권,"102,480",0,0.00%,0,"16,243","15,850",3.79,"10,541",N/A,N/A
136,현대엘리베이,"41,200",200,-0.48%,"5,000","15,940","38,690",24.58,"202,764",28.47,5.22
137,효성,"74,400",600,-0.80%,"5,000","15,677","21,071",5.71,"95,463",57.41,4.25
138,NHN,"78,500","2,100",2.75%,500,"15,359","19,565",11.04,"75,465",59.79,0.78
139,HDC현대산업개발,"23,150",300,1.31%,"5,000","15,258","65,907",8.91,"621,123",3.28,20.3
140,LG생활건강우,"721,000","3,000",-0.41%,"5,000","15,139","2,100",87.55,"5,523",16.44,N/A
141,메리츠화재,"13,200",50,0.38%,500,"15,006","113,680",11.77,"93,073",4.27,12.8
142,OCI,"62,800",900,1.45%,"5,000","14,977","23,849",16.04,"253,987",-1.85,-26.2
143,한국테크놀로지그룹,"16,000",100,-0.62%,500,"14,883","93,020",6.34,"575,593",11.84,4.71
144,더블유게임즈,"79,500","2,200",2.85%,500,"14,608","18,375",16.23,"164,077",13.85,18.93
145,유나이티드제약,"87,500","11,500",-11.62%,500,"14,214","16,245",10.25,"2,283,175",45.6,12.79
146,KCC,"155,500","2,500",-1.58%,"5,000","13,818","8,886",13.92,"91,293",-656.12,-4.37
147,한화에어로스페이스,"27,000",300,1.12%,"5,000","13,670","50,630",15.83,"277,116",12.77,5.45
148,SK디스커버리,"71,700","1,300",-1.78%,"5,000","13,650","19,038",10.04,"142,616",5.58,11.52
149,한화생명,"1,565",5,0.32%,"5,000","13,592","868,530",7.66,"2,372,809",8.07,0.51
150,KODEX 종합채권(AA-이상)액티브,"110,560",5,0.00%,0,"13,570","12,274",0,"10,850",N/A,N/A
151,롯데정밀화학,"52,300","1,300",2.55%,"5,000","13,493","25,800",24.27,"215,984",6.9,11.73
152,F&F,"87,100",400,-0.46%,500,"13,413","15,400",10.16,"45,466",13.05,25.13
153,진원생명과학,"30,000","1,050",3.63%,"1,000","13,406","44,688",8.95,"9,029,489",-102.39,-28.5
154,KG동부제철,"13,400",400,3.08%,"5,000","13,401","100,009",0.11,"47,630",13.97,-7.44
155,대웅제약,"115,500","2,000",1.76%,"2,500","13,382","11,587",4.92,"70,546",-539.72,4.34
156,KODEX 삼성그룹,"7,810",45,0.58%,0,"13,324","170,600",0.03,"242,524",N/A,N/A
157,현대백화점,"56,800",200,-0.35%,"5,000","13,293","23,402",17.6,"150,976",10.51,4.64
158,한화시스템,"12,050",450,-3.60%,"5,000","13,283","110,230",1.55,"1,552,603",17.07,8.15
159,영원무역,"29,400",700,-2.33%,500,"13,028","44,311",22.69,"127,151",9.25,9.82
160,아이에스동서,"41,900",200,0.48%,500,"12,944","30,893",5.3,"50,638",22.16,6.1
161,현대오토에버,"60,300",200,-0.33%,500,"12,663","21,000",1.05,"166,592",22.02,11.71
162,한전KPS,"28,000",250,0.90%,200,"12,600","45,000",13.96,"136,369",7.93,14.98
163,SK네트웍스,"5,040",40,0.80%,"2,500","12,509","248,188",11.98,"740,762",-42.71,-5.85
164,메리츠금융지주,"9,180",20,0.22%,500,"12,302","134,011",7.92,"75,806",3.04,15.26
165,TIGER 단기통안채,"100,660",5,0.00%,0,"12,291","12,210",5.96,"14,240",N/A,N/A
166,두산솔루스,"40,100",50,0.12%,100,"12,266","30,590",8.15,"183,223",88.91,N/A
167,지누스,"84,700","1,300",1.56%,500,"12,203","14,407",18.74,"33,492",15.41,26.32
168,대우건설,"2,925",10,0.34%,"5,000","12,157","415,623",10.08,"1,402,984",6.62,8.8
169,현대미포조선,"30,300",100,-0.33%,"5,000","12,102","39,942",13.29,"81,530",20.25,2.31
170,녹십자홀딩스,"25,500",400,-1.54%,500,"11,992","47,028",7.03,"143,049",36.22,0.37
171,KODEX 인버스,"5,355",25,-0.46%,0,"11,765","219,700",1.38,"35,409,785",N/A,N/A
172,KODEX 200TR,"10,205",40,0.39%,0,"11,695","114,600",20.16,"84,477",N/A,N/A
173,현대위아,"42,700",650,-1.50%,"5,000","11,612","27,195",10.97,"220,870",18.42,1.8
174,파미셀,"19,350",50,0.26%,500,"11,602","59,959",7.16,"1,187,223",189.71,8.78
175,금호타이어,"4,030",150,-3.59%,"5,000","11,577","287,260",4.41,"1,056,381",-8.28,-3.3
176,드림텍,"17,850",150,-0.83%,100,"11,084","62,095",22.85,"2,869,884",87.93,13.24
177,신세계인터내셔날,"152,500","1,500",-0.97%,"5,000","10,888","7,140",4.77,"32,860",17.58,12.98
178,코오롱인더,"39,950",450,1.14%,"5,000","10,778","26,979",16.31,"435,103",6.87,1.58
179,롯데관광개발,"15,450",100,-0.64%,500,"10,703","69,276",6.37,"194,619",-23.44,-4.77
180,한국콜마,"46,500",200,-0.43%,500,"10,640","22,881",25.34,"83,340",48.34,6.39
181,이노션,"53,000",500,-0.93%,500,"10,600","20,000",28.66,"66,375",15.86,9.88
182,다우기술,"23,500",600,-2.49%,500,"10,544","44,867",22.77,"434,675",5.54,14.62
183,코스맥스,"104,000","1,000",0.97%,500,"10,451","10,050",23.22,"70,492",27.11,10.45
184,대한유화,"160,500","2,000",1.26%,"5,000","10,432","6,500",14.41,"74,517",12.44,6.11
185,KODEX 코스닥150 레버리지,"14,305",355,2.54%,0,"10,042","70,200",2.08,"18,474,167",N/A,N/A
186,KBSTAR 200,"31,880",110,0.35%,0,"9,771","30,650",0,"207,859",N/A,N/A
187,후성,"10,500",100,-0.94%,500,"9,724","92,607",5.73,"2,050,538",-700,3.85
188,SK가스,"103,500","2,500",-2.36%,"5,000","9,553","9,230",8.96,"27,120",2.75,9.85
189,대상,"26,900",150,0.56%,"1,000","9,320","34,648",18.17,"100,379",7.19,11.17
190,일진다이아,"65,300","2,100",3.32%,"1,000","9,275","14,203",2.21,"660,875",131.65,8.06
191,쿠쿠홈시스,"41,250",50,0.12%,100,"9,255","22,437",4.23,"26,110",12.08,16.1
192,JB금융지주,"4,685",55,1.19%,"5,000","9,229","196,983",38.73,"282,085",2.83,10.36
193,DGB금융지주,"5,430",0,0.00%,"5,000","9,185","169,146",45.73,"756,604",2.95,7.31
194,현대홈쇼핑,"75,900","1,600",2.15%,"5,000","9,108","12,000",24.36,"59,145",11.74,5.03
195,코리안리,"7,470",0,0.00%,500,"8,992","120,369",27.71,"365,577",5.34,8.04
196,롯데리츠,"5,200",10,-0.19%,500,"8,942","171,969",9.2,"205,119",57.78,1.8
197,SK디앤디,"46,950","1,050",-2.19%,"1,000","8,916","18,990",4.48,"147,153",9.65,12.66
198,영풍,"479,000","8,500",-1.74%,"5,000","8,823","1,842",4.46,"2,479",3.95,7.4
199,아시아나항공,"3,945",40,1.02%,"5,000","8,807","223,235",6.19,"1,192,267",-0.8,-90.67
200,KODEX 단기채권PLUS,"102,690",5,0.00%,0,"8,760","8,531",0,"131,169",N/A,N/A
